,cellid,modelname,state_sig,state_chan,MI,r,r_se,d,g,state_chan_alt
0,BRT016f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.6489796916623446,0.013854503809579286,3.1060328998127167,1.0051311657800732,baseline
1,BRT016f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.00034758955142852804,0.6489796916623446,0.013854503809579286,0.006238076990005805,0.001271702240647295,ACTIVE_1
2,BRT016f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00013231466626230422,0.6489796916623446,0.013854503809579286,-0.029479209627505006,0.000791138974163163,PASSIVE_1
3,BRT016f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.0005970867363211474,0.6489796916623446,0.013854503809579286,0.005146637932502722,-0.002547536660689525,ACTIVE_2
4,BRT016f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_3,-0.00011634664200082127,0.6489796916623446,0.013854503809579286,0.02745057808577938,0.0042607381711795705,ACTIVE_3
5,BRT016f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,-8.122660136166097e-05,0.6489796916623446,0.013854503809579286,0.0025418273591672515,-0.027305289131406025,PASSIVE_2
6,BRT016f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,0.000493879031648517,0.6489796916623446,0.013854503809579286,0.007797547574616631,0.0059092794914171465,PASSIVE_3
7,BRT016f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_4,-0.0009017818934320942,0.6489796916623446,0.013854503809579286,0.017181182890439215,-0.012657671072969329,ACTIVE_4
8,BRT016f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_4,-0.0006850822068813999,0.6489796916623446,0.013854503809579286,-0.018543443278979558,-0.04586718574916067,PASSIVE_4
9,ley046f-60-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.4623163366527006,0.026558900838486305,0.893641084266573,1.0341627328857086,baseline
10,ley046f-60-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-5.868852386585703e-05,0.4623163366527006,0.026558900838486305,-0.0013741387391910183,-0.0702271342298344,ACTIVE_1
11,ley046f-60-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00021511630241185815,0.4623163366527006,0.026558900838486305,0.012569954747846238,0.08149840228689315,PASSIVE_1
12,ley046g-31-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.5034474165178235,0.020951096792614757,0.7200948725680452,1.0277629540197633,baseline
13,ley046g-31-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0009828659622801953,0.5034474165178235,0.020951096792614757,0.00021494075491999433,-0.025658313662902103,ACTIVE_1
14,ley046g-31-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00020279594253457762,0.5034474165178235,0.020951096792614757,0.004904015983224782,-0.003188064699669079,PASSIVE_1
15,ley046g-31-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,0.18723580026802766,0.5034474165178235,0.020951096792614757,-0.004672683674095328,-0.06387865349610958,PASSIVE_2
16,ley046g-31-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.18556202395372043,0.5034474165178235,0.020951096792614757,0.023825797968995154,-0.02107152048605274,ACTIVE_2
17,ley046g-31-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,0.1869382496640543,0.5034474165178235,0.020951096792614757,-0.020947482010242664,-0.09076415142378076,PASSIVE_3
18,ley046f-62-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.39452828893032466,0.025282874160053485,2.2261997647423972,0.999834744336922,baseline
19,ley046f-62-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0002756893449722299,0.39452828893032466,0.025282874160053485,0.024197197770237416,0.013839004004518273,ACTIVE_1
20,ley046f-62-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00044550423873961347,0.39452828893032466,0.025282874160053485,-0.006534390139357945,-0.05954622357386733,PASSIVE_1
21,ley046f-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.3271485633219825,0.0196853177161142,2.948952971294757,1.017692922928546,baseline
22,ley046f-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0002646824759402119,0.3271485633219825,0.0196853177161142,-0.005068531457521319,-0.028383164032832853,ACTIVE_1
23,ley046f-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00018387480061051256,0.3271485633219825,0.0196853177161142,0.032508131811671066,0.010193821651232143,PASSIVE_1
24,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9343559796584385,0.0030364236232795667,1.4613681680271533,0.9976371031148931,baseline
25,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00020533168395647997,0.9343559796584385,0.0030364236232795667,-0.009598062756369001,-0.0010863556692845703,ACTIVE_1
26,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.0012255233531614034,0.9343559796584385,0.0030364236232795667,0.0005854505477387422,0.010932318400584293,ACTIVE_2
27,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.0007505376673905431,0.9343559796584385,0.0030364236232795667,0.021303386066440937,-0.001154774706801912,PASSIVE_1
28,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_3,0.0007518561541738375,0.9343559796584385,0.0030364236232795667,0.012009745319140213,-0.0017734084365224451,ACTIVE_3
29,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_4,-4.474844272396838e-05,0.9343559796584385,0.0030364236232795667,-0.019237465894328475,0.0010670439729526177,ACTIVE_4
30,bbl031f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8892515290070779,0.010001539676232341,1.3454237057668268,1.0049314593797354,baseline
31,bbl031f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,-0.00018648706448968838,0.8892515290070779,0.010001539676232341,0.027783598748920918,0.00246756853121551,ACTIVE_0
32,bbl031f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00042203841086877776,0.8892515290070779,0.010001539676232341,0.02940583834511971,-0.010920163852360033,ACTIVE_1
33,bbl031f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.0007708101753373236,0.8892515290070779,0.010001539676232341,0.015875310175266673,-0.012715094711404501,PASSIVE_1
34,bbl026f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8073153914479247,0.008179275432206088,0.4692335570581007,1.0080083128086113,baseline
35,bbl026f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0001354731589335051,0.8073153914479247,0.008179275432206088,0.033809504347321266,-0.025276488288706028,ACTIVE_1
36,bbl026f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.0002714025816916281,0.8073153914479247,0.008179275432206088,-0.02349597139481558,0.0026628995733921678,ACTIVE_2
