,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
0,BRT039c-40-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.4293,0.4528835341551464,0.025611318916413637,0.026287653516000188,1.0226880272897123,baseline
1,BRT039c-40-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.01085504545630566,95.4293,0.4528835341551464,0.025611318916413637,0.013340491651185163,0.027983661693100827,pupil
2,BRT039c-40-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.00070207406290819,95.4293,0.4528835341551464,0.025611318916413637,0.031175299494579846,0.021035037280558538,active
3,BRT039c-03-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.5031204248459675,0.023188796026184195,0.0006574559177045358,1.0335639150457563,baseline
4,BRT039c-03-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.0055571129797922746,95.0,0.5031204248459675,0.023188796026184195,0.005255661524898231,0.0228658588049625,pupil
5,BRT039c-03-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.00051535253564003,95.0,0.5031204248459675,0.023188796026184195,0.07561677079219196,-0.2729859510012995,active
6,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.5278928009456558,0.026132326840666513,0.015172225147780558,1.039853165432385,baseline
7,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.006456684885275681,95.0,0.5278928009456558,0.026132326840666513,-0.009469065766917525,-0.0181233007987125,pupil
8,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.0007442897611351617,95.0,0.5278928009456558,0.026132326840666513,-0.007723679579157469,-0.1726377220592716,active
9,BRT039c-45-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,77.0083,0.6862161515088973,0.011744535336786006,0.049662092634447166,1.0260630392711358,baseline
10,BRT039c-45-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.0016010542545245008,77.0083,0.6862161515088973,0.011744535336786006,0.031955584047371186,-0.011618287841780555,pupil
11,BRT039c-45-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.0012461708861317973,77.0083,0.6862161515088973,0.011744535336786006,0.12704320001075883,-0.09802026801860952,active
12,BRT039c-25-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.674145734878535,0.013675663720423307,0.015173309976762594,1.0410009116967145,baseline
13,BRT039c-25-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.005111683323136504,95.0,0.674145734878535,0.013675663720423307,-0.0083344823202596,-0.09951213086018221,pupil
14,BRT039c-25-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.000704078090400175,95.0,0.674145734878535,0.013675663720423307,0.033952258288761465,0.0020453411252642053,active
15,BRT037b-24-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,85.0,0.9594771884466514,0.0018034265295312464,0.001100208482197675,1.05558234091517,baseline
16,BRT037b-24-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.0027331893951200543,85.0,0.9594771884466514,0.0018034265295312464,-0.0186489881859113,0.017948999834141364,pupil
17,BRT037b-24-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.0004809034913927435,85.0,0.9594771884466514,0.0018034265295312464,0.012939986906610019,0.09199724783605331,active
18,BRT037b-36-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.9637032017889663,0.0031753668236607644,0.001718588122219898,1.0085296890228048,baseline
19,BRT037b-36-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.006610939073499774,95.0,0.9637032017889663,0.0031753668236607644,-0.014469493380290965,0.040804124642017436,pupil
20,BRT037b-36-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.0014177578728136408,95.0,0.9637032017889663,0.0031753668236607644,0.0037571126343416195,-0.005155358546132302,active
21,BRT037b-13-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.9666209627017629,0.0022087271546207725,-0.0016062527482880163,1.0575756162827663,baseline
22,BRT037b-13-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.03563655171357186,95.0,0.9666209627017629,0.0022087271546207725,-0.008407981697964391,-0.01288718895153057,pupil
23,BRT037b-13-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.01207758103518754,95.0,0.9666209627017629,0.0022087271546207725,-0.013755989596706824,0.0008210635465151725,active
24,BRT026c-33-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.3718837439574584,0.02280732319802755,0.14835314833642896,1.0767573417757066,baseline
25,BRT026c-33-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.006310842220884578,95.0,0.3718837439574584,0.02280732319802755,-0.3112685299812114,-0.37063862248376933,pupil
26,BRT026c-33-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.001302687284595905,95.0,0.3718837439574584,0.02280732319802755,0.06225907564542181,0.22091145382112204,active
27,BRT026c-27-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.4989023872763184,0.017768657110280174,0.09325836352036856,1.4869315748903558,baseline
28,BRT026c-27-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.006228735734778786,95.0,0.4989023872763184,0.017768657110280174,0.09370702529876353,0.926174906411174,pupil
29,BRT026c-27-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.0007977208693890649,95.0,0.4989023872763184,0.017768657110280174,-1.1902901806317725,2.8911292260081085,active
30,BRT026c-15-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,81.699,0.5520630289373025,0.027398557797194023,0.011914073874943523,1.0769112127853966,baseline
31,BRT026c-15-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.0024150066814885274,81.699,0.5520630289373025,0.027398557797194023,-0.049004186069736576,0.06032908633756173,pupil
32,BRT026c-15-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.0005228660140185115,81.699,0.5520630289373025,0.027398557797194023,0.320904247300842,-0.6573025465382009,active
33,BRT026c-25-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,75.4069,0.3816893111088766,0.022050469659791225,0.4052020054608705,1.659760082752229,baseline
34,BRT026c-25-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.005313593469289975,75.4069,0.3816893111088766,0.022050469659791225,-0.4625587963643617,-1.139959468976795,pupil
35,BRT026c-25-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.0032336889885452827,75.4069,0.3816893111088766,0.022050469659791225,-0.41954108908286736,5.271578134406316,active
36,BRT026c-17-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.37839534208394865,0.02046346831429073,0.14740317552374455,1.034000514666715,baseline
37,BRT026c-17-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.0009936338836087615,95.0,0.37839534208394865,0.02046346831429073,-0.03612189897377697,-0.0022592422472862118,pupil
38,BRT026c-17-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.0008359607545020751,95.0,0.37839534208394865,0.02046346831429073,0.27700712896883073,-0.709222869330475,active
39,BRT026c-05-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0013,0.43674754060276355,0.020536754361889953,0.126468945818025,1.0296588913426585,baseline
40,BRT026c-05-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.003379935550750472,95.0013,0.43674754060276355,0.020536754361889953,-0.02983020932076814,0.04735180385481605,pupil
41,BRT026c-05-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.0008419560957037003,95.0013,0.43674754060276355,0.020536754361889953,0.030800629561796834,0.038828933520669996,active
42,BRT026c-44-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.48951937212814123,0.017660241665216108,0.0008274716268538342,1.0596101876048567,baseline
43,BRT026c-44-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.005985869176019834,95.0,0.48951937212814123,0.017660241665216108,-0.23080779328817086,-0.06177470141070209,pupil
44,BRT026c-44-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.002910026803206281,95.0,0.48951937212814123,0.017660241665216108,0.15152488724136065,-0.3588501896902517,active
45,BRT026c-41-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,99.8031,0.6995308746925515,0.019990935837375462,0.02809174624030026,1.0470025510007457,baseline
46,BRT026c-41-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.010463029474375427,99.8031,0.6995308746925515,0.019990935837375462,0.009663762913610662,-0.015089578205956392,pupil
47,BRT026c-41-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.002677819555695215,99.8031,0.6995308746925515,0.019990935837375462,-0.054778632609127006,-0.0755742910703234,active
48,BRT026c-34-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,85.0,0.3783622890630253,0.01857712474594476,0.01351464029575294,1.018746145628104,baseline
49,BRT026c-34-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.009530405697373828,85.0,0.3783622890630253,0.01857712474594476,-0.03508764814306867,-0.18437125078490857,pupil
50,BRT026c-34-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.0012891597828810384,85.0,0.3783622890630253,0.01857712474594476,-0.0077561536453828305,0.22371345094719902,active
51,BRT026c-31-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,99.6483,0.5726745315570783,0.015865770365469666,0.00099797609997875,1.0279068854377207,baseline
52,BRT026c-31-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.007964695028689257,99.6483,0.5726745315570783,0.015865770365469666,0.017156371380449897,0.19183840818706796,pupil
53,BRT026c-31-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.0033918100686418295,99.6483,0.5726745315570783,0.015865770365469666,-0.037835611416020744,0.0338483714537117,active
