"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist",
"btn006a-b1",1.9013,9801,1.9013,9801,"btn006a01_p_TOR",0.49429,9464,"btn006a02_a_PTD",10000,-0.028999,,,,,,,,,,,,,,
"btn009b-b1",0.29041,13337,0.29041,13337,"btn009b02_p_TOR",0.1606,2858,"btn009b03_a_PTD",14000,-0.069993,,,,,,,,,,,,,,
"btn011a-b1",0.66152,639,0.66152,639,"btn011a02_p_TOR",0.38448,7407,"btn011a03_a_PTD",650,-0.024624,,,,,,,,,,,,,,
"btn011c-b1",0.72878,441,0.72878,441,"btn011c01_p_TOR",0.55081,457,"btn011c02_a_PTD",500,-0.18115,,,,,,,,,,,,,,
"btn012c-a1",1.6629,10810,0.058383,24184,"btn012c01_p_TOR",1.1517,10438,"btn012c02_a_PTD",8000,0.43429,1.6016,18277,"btn012c04_p_PTD",1.6629,10810,"btn012c05_a_PTD",10500,0.041977,,,,,,
"btn012c-b1",1.0758,7355,1.0758,7355,"btn012c01_p_TOR",0.16688,3066,"btn012c02_a_PTD",8000,-0.12127,0.5302,7617,"btn012c04_p_PTD",0.55855,23352,"btn012c05_a_PTD",10500,-0.51359,,,,,,
"btn014b-a1",1.9958,9398,1.7844,6858,"btn014b03_p_TOR",1.9958,9398,"btn014b04_a_PTD",7000,0.425,,,,,,,,,,,,,,
"btn015d-b1",0.72563,18928,0.57429,21024,"btn015d01_p_TOR",0.72563,18928,"btn015d02_a_PTD",12000,0.65749,,,,,,,,,,,,,,
"btn015g-a1",0.44117,1234,0.44117,1234,"btn015g01_p_TOR",0.22611,3175,"btn015g02_a_PTD",16000,-3.6967,,,,,,,,,,,,,,
"btn019c-a1",2.9929,18277,2.572,18277,"btn019c05_p_PTD",2.9929,18277,"btn019c06_a_PTD",18000,0.022032,,,,,,,,,,,,,,
