"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_3_snr","ACTIVE_3_bf","ACTIVE_3","ACTIVE_3_tf","ACTIVE_3_tardist","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist","PASSIVE_2_snr","PASSIVE_2_bf","PASSIVE_2","PASSIVE_3_snr","PASSIVE_3_bf","PASSIVE_3","ACTIVE_4_snr","ACTIVE_4_bf","ACTIVE_4","ACTIVE_4_tf","ACTIVE_4_tardist","PASSIVE_4_snr","PASSIVE_4_bf","PASSIVE_4",
"BRT026c-02-1",0.4691,29836,0.20606,25938,"BRT026c04_p_PTD.m",0.30771,25938,"BRT026c08_a_PTD.m",14000,1.0916,0.22611,2485,"BRT026c09_p_PTD.m",0.4691,29836,"BRT026c11_a_PTD.m",14000,1.0916,0.20944,3066,"BRT026c12_a_PTD.m",14000,1.0916,,,,,,,,,,,,,,,,,,,,
"BRT026c-02-2",0.19124,1576,-0.00045581,18277,"BRT026c09_p_PTD.m",0.015065,1278,"BRT026c11_a_PTD.m",14000,-3.1511,,,,0.19124,1576,"BRT026c12_a_PTD.m",14000,-3.1511,,,,,,0.118,14814,"BRT026c08_a_PTD.m",14000,-3.1511,,,,,,,,,,,,,,,
"BRT026c-05-1",0.10056,5183,0.088553,2399,"BRT026c09_p_PTD.m",0.056634,12435,"BRT026c11_a_PTD.m",14000,-1.4336,,,,0.023143,5962,"BRT026c12_a_PTD.m",14000,-1.4336,,,,,,0.10056,5183,"BRT026c08_a_PTD.m",14000,-1.4336,,,,,,,,,,,,,,,
"BRT026c-05-2",0.80741,20300,0.20949,1576,"BRT026c04_p_PTD.m",0.6947,20300,"BRT026c08_a_PTD.m",14000,0.53605,0.37554,29836,"BRT026c09_p_PTD.m",0.80741,20300,"BRT026c11_a_PTD.m",14000,0.53605,0.35755,19602,"BRT026c12_a_PTD.m",14000,0.53605,,,,,,,,,,,,,,,,,,,,
"BRT026c-07-1",4.6068,21024,1.8629,21773,"BRT026c04_p_PTD.m",3.5251,21024,"BRT026c08_a_PTD.m",14000,0.58661,1.4318,20300,"BRT026c09_p_PTD.m",4.6068,21024,"BRT026c11_a_PTD.m",14000,0.58661,2.7204,21024,"BRT026c12_a_PTD.m",14000,0.58661,,,,,,,,,,,,,,,,,,,,
"BRT026c-08-1",0.21814,15888,0.18424,18277,"BRT026c09_p_PTD.m",0.21814,15888,"BRT026c11_a_PTD.m",14000,0.18251,,,,-0.050664,15342,"BRT026c12_a_PTD.m",14000,0.18251,,,,,,0.09112,3917,"BRT026c08_a_PTD.m",14000,0.18251,,,,,,,,,,,,,,,
"BRT026c-11-1",0.27313,1632,0.0095157,4056,"BRT026c09_p_PTD.m",0.27313,1632,"BRT026c11_a_PTD.m",14000,-3.1007,,,,0.059167,25938,"BRT026c12_a_PTD.m",14000,-3.1007,,,,,,0.19542,8170,"BRT026c08_a_PTD.m",14000,-3.1007,,,,,,,,,,,,,,,
"BRT026c-11-2",0.16202,1150,-0.073552,7617,"BRT026c04_p_PTD.m",-0.010153,17648,"BRT026c08_a_PTD.m",14000,-3.6057,-2.7756e-15,5183,"BRT026c09_p_PTD.m",0.16202,1150,"BRT026c11_a_PTD.m",14000,-3.6057,1.7764e-15,3917,"BRT026c12_a_PTD.m",14000,-3.6057,,,,,,,,,,,,,,,,,,,,
"BRT026c-12-1",0.63799,23352,0.056264,2399,"BRT026c09_p_PTD.m",8.8818e-16,1813,"BRT026c11_a_PTD.m",14000,0.73812,,,,0.63799,23352,"BRT026c12_a_PTD.m",14000,0.73812,,,,,,0.024778,12007,"BRT026c08_a_PTD.m",14000,0.73812,,,,,,,,,,,,,,,
"BRT026c-15-1",0.20095,32000,0.052345,7102,"BRT026c09_p_PTD.m",0.13653,27819,"BRT026c11_a_PTD.m",14000,1.1926,,,,0.20095,32000,"BRT026c12_a_PTD.m",14000,1.1926,,,,,,0.13067,2317,"BRT026c08_a_PTD.m",14000,1.1926,,,,,,,,,,,,,,,
